Gene	rsID	Chr	Position	Type	Function
ERRFI1	rs2527441172	1	1:8026307	delins	upstream_transcript_variant,genic_upstream_transcript_variant,5_prime_UTR_variant,2KB_upstream_variant
ERRFI1	rs2527440871	1	1:8026244	snv	upstream_transcript_variant,genic_upstream_transcript_variant,5_prime_UTR_variant,2KB_upstream_variant
ESR1	rs2549358166	6	6:152129554	snv	genic_downstream_transcript_variant,intron_variant,3_prime_UTR_variant
ESR1	rs2549356287	6	6:152129522	snv	genic_downstream_transcript_variant,intron_variant,3_prime_UTR_variant
ETNK1	rs2522577331	12	12:22671166	del	intron_variant,genic_downstream_transcript_variant
ETNK1	rs2501649100	12	12:22690661	snv	3_prime_UTR_variant,genic_downstream_transcript_variant
ETS1	rs2523742212	11	11:128539242	delins	genic_upstream_transcript_variant,intron_variant
ETS1	rs2497582294	11	11:128578407	snv	intron_variant,genic_upstream_transcript_variant
ETV1	rs2546667350	7	7:13988710	snv	coding_sequence_variant,synonymous_variant,genic_upstream_transcript_variant,intron_variant
ETV1	rs2535387784	7	7:13991395	delins	upstream_transcript_variant,5_prime_UTR_variant,genic_upstream_transcript_variant
ETV4	rs2544216535	17	17:43546304	snv	genic_upstream_transcript_variant,genic_downstream_transcript_variant,5_prime_UTR_variant,upstream_transcript_variant,intron_variant
ETV4	rs2544216463	17	17:43546280	snv	genic_upstream_transcript_variant,genic_downstream_transcript_variant,5_prime_UTR_variant,upstream_transcript_variant,intron_variant
ETV5	rs2473967443	3	3:186109016	del	5_prime_UTR_variant
ETV5	rs2473967389	3	3:186109002	snv	5_prime_UTR_variant
ETV6	rs2527824526	12	12:11805774	snv	intron_variant,genic_upstream_transcript_variant
ETV6	rs2524389559	12	12:11895247	snv	3_prime_UTR_variant
EWSR1	rs2538303823	22	22:29286904	delins	intron_variant
EWSR1	rs2524815772	22	22:29290731	del	downstream_transcript_variant,intron_variant,genic_downstream_transcript_variant
EXT1	rs2547214068	8	8:117850905	del	intron_variant
EXT1	rs2532726847	8	8:117830082	delins	intron_variant
EZH2	rs2538657630	7	7:148884287	snv	genic_upstream_transcript_variant,upstream_transcript_variant,5_prime_UTR_variant,2KB_upstream_variant
EZH2	rs2538657554	7	7:148884283	snv	genic_upstream_transcript_variant,upstream_transcript_variant,5_prime_UTR_variant,2KB_upstream_variant
FANCA	rs2547742982	16	16:89787790	del	intron_variant,genic_downstream_transcript_variant
FANCA	rs2544395582	16	16:89816637	delins	5_prime_UTR_variant
FANCC	rs2543452320	9	9:95317525	delins	5_prime_UTR_variant,upstream_transcript_variant,splice_donor_variant,genic_upstream_transcript_variant
FANCC	rs2543451974	9	9:95317505	snv	intron_variant,upstream_transcript_variant,genic_upstream_transcript_variant
FANCD2	rs2470759676	3	3:10043845	delins	genic_downstream_transcript_variant,frameshift_variant,coding_sequence_variant
FANCD2	rs2470759646	3	3:10043837	snv	genic_downstream_transcript_variant,coding_sequence_variant,synonymous_variant
FANCE	rs2533713375	6	6:35467054	snv	3_prime_UTR_variant,2KB_upstream_variant,genic_downstream_transcript_variant,upstream_transcript_variant
FANCE	rs2533713365	6	6:35467053	snv	3_prime_UTR_variant,2KB_upstream_variant,genic_downstream_transcript_variant,upstream_transcript_variant
FANCF	rs2494872483	11	11:22625818	snv	upstream_transcript_variant,2KB_upstream_variant,5_prime_UTR_variant
FANCF	rs2494872459	11	11:22625816	delins	upstream_transcript_variant,2KB_upstream_variant,5_prime_UTR_variant
FANCG	rs2490413210	9	9:35079939	snv	5_prime_UTR_variant
FANCG	rs2490413207	9	9:35079933	snv	5_prime_UTR_variant
FANCL	rs2524845354	2	2:58221027	snv	intron_variant
FANCL	rs2522017748	2	2:58214400	del	intron_variant
FANCM	rs2547654457	14	14:45170693	delins	coding_sequence_variant,frameshift_variant,genic_downstream_transcript_variant
FANCM	rs2543786375	14	14:45183722	snv	intron_variant,genic_downstream_transcript_variant
FAS	rs2532030518	10	10:88973180	del	genic_upstream_transcript_variant,intron_variant,5_prime_UTR_variant
FAS	rs2495276288	10	10:89016985	snv	non_coding_transcript_variant,genic_downstream_transcript_variant,3_prime_UTR_variant
FAT1	rs2529574396	4	4:186594883	delins	intron_variant
FAT1	rs2478125252	4	4:186726666	snv	genic_upstream_transcript_variant,5_prime_UTR_variant
FAT3	rs2545605229	11	11:92559508	delins	intron_variant
FAT3	rs2540707756	11	11:92728509	del	genic_downstream_transcript_variant,intron_variant
FBXO11	rs2531746440	2	2:47903772	snv	intron_variant,genic_upstream_transcript_variant
FBXO11	rs2531746428	2	2:47903771	snv	intron_variant,genic_upstream_transcript_variant
FBXW7	rs2546208702	4	4:152536075	snv	upstream_transcript_variant,2KB_upstream_variant,genic_upstream_transcript_variant,5_prime_UTR_variant
FBXW7	rs2546208659	4	4:152536068	delins	upstream_transcript_variant,2KB_upstream_variant,genic_upstream_transcript_variant,5_prime_UTR_variant
FER	rs2546821500	5	5:109196771	snv	3_prime_UTR_variant,genic_downstream_transcript_variant,non_coding_transcript_variant
FER	rs2546821494	5	5:109196769	snv	3_prime_UTR_variant,genic_downstream_transcript_variant,non_coding_transcript_variant
FGF10	rs2478546799	5	5:44389361	snv	intron_variant,5_prime_UTR_variant
FGF10	rs2478546669	5	5:44389314	delins	intron_variant,5_prime_UTR_variant
FGF14	rs2549183658	13	13:101835181	snv	intron_variant
FGF14	rs2549183476	13	13:101835107	delins	intron_variant
FGF19	rs2539115175	11	11:69704019	snv	5_prime_UTR_variant
FGF19	rs2539115171	11	11:69704012	snv	5_prime_UTR_variant
FGF23	rs2497245623	12	12:4379709	snv	5_prime_UTR_variant
FGF23	rs2497245620	12	12:4379707	snv	5_prime_UTR_variant
FGF3	rs2539184226	11	11:69819389	snv	5_prime_UTR_variant,intron_variant
FGF3	rs2539184173	11	11:69819329	snv	5_prime_UTR_variant,intron_variant
FGF4	rs2539154538	11	11:69775329	snv	5_prime_UTR_variant
FGF4	rs2539154530	11	11:69775324	snv	5_prime_UTR_variant
FGF6	rs2497301614	12	12:4445804	snv	5_prime_UTR_variant
FGF6	rs2497301524	12	12:4445761	snv	5_prime_UTR_variant
FGFR1	rs2538142685	8	8:38468605	snv	5_prime_UTR_variant,genic_upstream_transcript_variant,upstream_transcript_variant
FGFR1	rs2538142596	8	8:38468601	snv	5_prime_UTR_variant,genic_upstream_transcript_variant,upstream_transcript_variant
FGFR2	rs2541389578	10	10:121598451	snv	genic_upstream_transcript_variant,5_prime_UTR_variant,upstream_transcript_variant
FGFR2	rs2541389146	10	10:121598438	snv	genic_upstream_transcript_variant,5_prime_UTR_variant,non_coding_transcript_variant,upstream_transcript_variant
FGFR3	rs2546847856	4	4:1808859	snv	non_coding_transcript_variant,3_prime_UTR_variant
FGFR3	rs2546847660	4	4:1808765	snv	non_coding_transcript_variant,3_prime_UTR_variant
FGFR4	rs2546676053	5	5:177093502	del	stop_gained,coding_sequence_variant,splice_donor_variant
FGFR4	rs2534023050	5	5:177098129	snv	3_prime_UTR_variant
FGR	rs2523288223	1	1:27635137	snv	5_prime_UTR_variant,genic_upstream_transcript_variant
FGR	rs2523288184	1	1:27635106	snv	5_prime_UTR_variant,genic_upstream_transcript_variant
FH	rs2529562480	1	1:196747502	del	genic_downstream_transcript_variant,3_prime_UTR_variant
FH	rs2529562473	1	1:196747501	snv	genic_downstream_transcript_variant,3_prime_UTR_variant
FLCN	rs2544405665	17	17:17237308	del	2KB_upstream_variant,genic_upstream_transcript_variant,5_prime_UTR_variant,upstream_transcript_variant
FLCN	rs2544405643	17	17:17237304	snv	genic_upstream_transcript_variant,5_prime_UTR_variant,upstream_transcript_variant
FLT1	rs2529422078	13	13:28397771	delins	genic_downstream_transcript_variant,intron_variant
FLT1	rs2528985355	13	13:28368721	delins	genic_downstream_transcript_variant,intron_variant
FLT3	rs2532525814	13	13:28062764	snv	intron_variant,genic_upstream_transcript_variant
FLT3	rs2531985046	13	13:28062163	snv	intron_variant,genic_upstream_transcript_variant
FLT4	rs2481075072	5	5:180650286	delins	5_prime_UTR_variant,upstream_transcript_variant,genic_upstream_transcript_variant
FLT4	rs2481074836	5	5:180650183	delins	intron_variant,upstream_transcript_variant,genic_upstream_transcript_variant
FOS	rs2503700419	14	14:75282223	snv	3_prime_UTR_variant
FOS	rs2503700380	14	14:75282167	snv	3_prime_UTR_variant
FOSB	rs2513715439	19	19:45475176	snv	3_prime_UTR_variant
FOSB	rs2513715425	19	19:45475153	snv	3_prime_UTR_variant
FOXA1	rs2548702931	14	14:37595243	snv	upstream_transcript_variant,5_prime_UTR_variant,2KB_upstream_variant
FOXA1	rs2548702897	14	14:37595219	snv	upstream_transcript_variant,5_prime_UTR_variant,2KB_upstream_variant
FOXL2	rs2473817042	3	3:138947132	delins	upstream_transcript_variant,5_prime_UTR_variant,2KB_upstream_variant
FOXL2	rs2473817035	3	3:138947129	snv	upstream_transcript_variant,5_prime_UTR_variant,2KB_upstream_variant
FOXO1	rs2501415815	13	13:40666585	snv	genic_upstream_transcript_variant,5_prime_UTR_variant
FOXO1	rs2501415791	13	13:40666580	snv	genic_upstream_transcript_variant,5_prime_UTR_variant
FOXP1	rs2546832125	3	3:71212249	snv	genic_upstream_transcript_variant,intron_variant
FOXP1	rs2546832086	3	3:71212243	snv	genic_upstream_transcript_variant,intron_variant
FOXR2	rs2519409046	X	X:55626092	snv	3_prime_UTR_variant
FOXR2	rs2519409026	X	X:55626053	snv	3_prime_UTR_variant
FRK	rs2544941887	6	6:115945719	delins	intron_variant
FRK	rs2534050903	6	6:116100713	delins	5_prime_UTR_variant,upstream_transcript_variant,2KB_upstream_variant,genic_upstream_transcript_variant
FRS2	rs2531770185	12	12:69508021	del	intron_variant,genic_upstream_transcript_variant
FRS2	rs2527729497	12	12:69520017	del	intron_variant,genic_upstream_transcript_variant
FUBP1	rs2524176799	1	1:77979378	snv	intron_variant,genic_upstream_transcript_variant,upstream_transcript_variant,5_prime_UTR_variant
FUBP1	rs2524176256	1	1:77979352	snv	intron_variant,genic_upstream_transcript_variant,upstream_transcript_variant,5_prime_UTR_variant
FUS	rs2548635471	16	16:31185643	snv	intron_variant
FUS	rs2544293260	16	16:31194861	snv	non_coding_transcript_variant,genic_downstream_transcript_variant,3_prime_UTR_variant
GABRA6	rs2480351551	5	5:161702462	snv	3_prime_UTR_variant
GABRA6	rs2480351484	5	5:161702385	snv	3_prime_UTR_variant
GATA1	rs2519347331	X	X:48794304	snv	3_prime_UTR_variant
GATA1	rs2519347324	X	X:48794301	snv	3_prime_UTR_variant
GATA2	rs2472948608	3	3:128493163	snv	intron_variant,5_prime_UTR_variant,genic_upstream_transcript_variant
GATA2	rs2472948357	3	3:128493009	snv	intron_variant,5_prime_UTR_variant,genic_upstream_transcript_variant
GATA3	rs2491530223	10	10:8075131	snv	3_prime_UTR_variant
GATA3	rs2491530195	10	10:8075116	snv	3_prime_UTR_variant
GATA4	rs2486997651	8	8:11755220	ins	intron_variant
GATA4	rs2486997601	8	8:11755215	snv	intron_variant
GATA6	rs2510640971	18	18:22202513	snv	3_prime_UTR_variant
GATA6	rs2510640963	18	18:22202499	snv	3_prime_UTR_variant
GEN1	rs2545655524	2	2:17788931	snv	intron_variant,genic_downstream_transcript_variant,3_prime_UTR_variant
GEN1	rs2545655481	2	2:17788896	snv	intron_variant,genic_downstream_transcript_variant,3_prime_UTR_variant
GID4	rs2549567599	17	17:18060323	snv	genic_downstream_transcript_variant,intron_variant
GID4	rs2545120628	17	17:18068403	snv	3_prime_UTR_variant,genic_downstream_transcript_variant
GLI1	rs2540101902	12	12:57472263	delins	downstream_transcript_variant,500B_downstream_variant,3_prime_UTR_variant
GLI1	rs2540101885	12	12:57472261	snv	downstream_transcript_variant,500B_downstream_variant,3_prime_UTR_variant
GLI2	rs2524793016	2	2:120867139	del	genic_upstream_transcript_variant,non_coding_transcript_variant,intron_variant,upstream_transcript_variant
GLI2	rs2524061973	2	2:120886205	del	intron_variant
GLIS2	rs2523663358	16	16:4320012	snv	intron_variant
GLIS2	rs2505860542	16	16:4329190	snv	upstream_transcript_variant,intron_variant,2KB_upstream_variant
GNA11	rs2512101162	19	19:3123970	delins	500B_downstream_variant,downstream_transcript_variant,3_prime_UTR_variant
GNA11	rs2512101137	19	19:3123948	snv	500B_downstream_variant,downstream_transcript_variant,3_prime_UTR_variant
GNA13	rs2509284350	17	17:65056736	snv	genic_upstream_transcript_variant,upstream_transcript_variant,5_prime_UTR_variant
GNA13	rs2509284346	17	17:65056735	snv	genic_upstream_transcript_variant,upstream_transcript_variant,5_prime_UTR_variant
GNA14	rs2545668498	9	9:77467002	del	intron_variant,genic_upstream_transcript_variant
GNA14	rs2538494406	9	9:77530385	snv	intron_variant,genic_upstream_transcript_variant
GNAQ	rs2545091717	9	9:77761426	del	intron_variant
GNAQ	rs2543287298	9	9:77778226	del	intron_variant
GNAS	rs2541058793	20	20:58891241	snv	intron_variant,genic_upstream_transcript_variant,upstream_transcript_variant
GNAS	rs2525406042	20	20:58855972	snv	genic_upstream_transcript_variant,intron_variant
GNB1	rs2525181119	1	1:1891051	snv	genic_upstream_transcript_variant,upstream_transcript_variant,5_prime_UTR_variant,2KB_upstream_variant
GNB1	rs2525181079	1	1:1891050	snv	genic_upstream_transcript_variant,upstream_transcript_variant,5_prime_UTR_variant,2KB_upstream_variant
GPC3	rs2548478627	X	X:133733126	del	intron_variant
GPC3	rs2541790420	X	X:133750031	del	intron_variant
GREM1	rs2548715766	15	15:32745082	snv	3_prime_UTR_variant,genic_downstream_transcript_variant
GREM1	rs2548715757	15	15:32745054	del	3_prime_UTR_variant,genic_downstream_transcript_variant
GRIN2A	rs2544041973	16	16:10182774	snv	genic_upstream_transcript_variant,5_prime_UTR_variant,upstream_transcript_variant
GRIN2A	rs2544041936	16	16:10182756	snv	genic_upstream_transcript_variant,5_prime_UTR_variant,upstream_transcript_variant
GRM3	rs2546312778	7	7:86795612	delins	genic_downstream_transcript_variant,upstream_transcript_variant,genic_upstream_transcript_variant,intron_variant
GRM3	rs2535341679	7	7:86864865	snv	3_prime_UTR_variant,genic_downstream_transcript_variant
GSK3B	rs2545964230	3	3:120094441	delins	5_prime_UTR_variant
GSK3B	rs2545964226	3	3:120094441	snv	5_prime_UTR_variant
H1-4	rs2481720175	6	6:26156349	snv	2KB_upstream_variant,5_prime_UTR_variant,upstream_transcript_variant
H1-4	rs2481720137	6	6:26156339	delins	2KB_upstream_variant,5_prime_UTR_variant,upstream_transcript_variant
H3-3A	rs2527656961	1	1:226071983	snv	3_prime_UTR_variant
H3-3A	rs2527656954	1	1:226071978	snv	3_prime_UTR_variant
H3-3B	rs2527656961	1	1:226071983	snv	3_prime_UTR_variant
H3-3B	rs2527656954	1	1:226071978	snv	3_prime_UTR_variant
H3C2	rs2481472259	6	6:26020957	del	2KB_upstream_variant,3_prime_UTR_variant,upstream_transcript_variant
H3C2	rs2481472232	6	6:26020954	snv	2KB_upstream_variant,3_prime_UTR_variant,upstream_transcript_variant
H3C3	rs2481472259	6	6:26020957	del	2KB_upstream_variant,3_prime_UTR_variant,upstream_transcript_variant
H3C3	rs2481472232	6	6:26020954	snv	2KB_upstream_variant,3_prime_UTR_variant,upstream_transcript_variant
HDAC4	rs2531648820	2	2:239401641	delins	intron_variant,5_prime_UTR_variant,upstream_transcript_variant,genic_upstream_transcript_variant
HDAC4	rs2531647842	2	2:239401559	snv	intron_variant,5_prime_UTR_variant,upstream_transcript_variant,genic_upstream_transcript_variant
HDAC9	rs2546740605	7	7:18157852	snv	genic_upstream_transcript_variant,intron_variant
HDAC9	rs2539337320	7	7:18727517	snv	genic_downstream_transcript_variant,intron_variant
HGF	rs2534044108	7	7:22731988	delins	genic_downstream_transcript_variant,3_prime_UTR_variant
HGF	rs2534044009	7	7:22731926	snv	genic_downstream_transcript_variant,3_prime_UTR_variant
HIF1A	rs2546893440	14	14:61721684	delins	intron_variant
HIF1A	rs2539506956	14	14:61721914	del	intron_variant
HLF	rs2546486437	2	2:46386565	delins	3_prime_UTR_variant
HLF	rs2546486398	2	2:46386531	snv	3_prime_UTR_variant
HMGA2	rs2536253156	12	12:65860084	del	non_coding_transcript_variant,intron_variant,genic_downstream_transcript_variant
HMGA2	rs2534166032	12	12:65895415	del	intron_variant,genic_downstream_transcript_variant
HNF1A	rs2533768272	12	12:120999150	del	intron_variant
HNF1A	rs2500019718	12	12:121002509	snv	3_prime_UTR_variant,non_coding_transcript_variant
HOXB13	rs2509516567	17	17:48728741	delins	5_prime_UTR_variant
HOXB13	rs2509516557	17	17:48728733	snv	5_prime_UTR_variant
HRAS	rs2539813923	11	11:535562	snv	5_prime_UTR_variant,upstream_transcript_variant,intron_variant,genic_upstream_transcript_variant
HRAS	rs2539813642	11	11:535538	delins	5_prime_UTR_variant,upstream_transcript_variant,intron_variant,genic_upstream_transcript_variant
HSD3B1	rs2525918282	1	1:119514992	snv	3_prime_UTR_variant
HSD3B1	rs2525918280	1	1:119514988	snv	3_prime_UTR_variant
HSP90AA1	rs2538337135	14	14:102082516	delins	intron_variant
HSP90AA1	rs2537436431	14	14:102082710	snv	intron_variant
HTRA1	rs2546844404	10	10:122467672	delins	intron_variant
HTRA1	rs2497660630	10	10:122514889	snv	3_prime_UTR_variant
ID3	rs2523159373	1	1:23559500	snv	5_prime_UTR_variant,genic_downstream_transcript_variant,intron_variant
ID3	rs2523159366	1	1:23559499	del	5_prime_UTR_variant,genic_downstream_transcript_variant,intron_variant
IDH1	rs2469042575	2	2:208253510	snv	intron_variant,upstream_transcript_variant,2KB_upstream_variant
IDH1	rs2469042321	2	2:208253343	snv	intron_variant,upstream_transcript_variant,2KB_upstream_variant
IDH2	rs2547488914	15	15:90102413	del	5_prime_UTR_variant,upstream_transcript_variant,genic_upstream_transcript_variant,intron_variant
IDH2	rs2505812408	15	15:90102465	snv	genic_upstream_transcript_variant,intron_variant,5_prime_UTR_variant,upstream_transcript_variant
IGF1R	rs2542942208	15	15:98964526	snv	3_prime_UTR_variant
IGF1R	rs2542942189	15	15:98964518	snv	3_prime_UTR_variant
IGF2	rs2532703583	11	11:2149328	snv	non_coding_transcript_variant,coding_sequence_variant,missense_variant,genic_upstream_transcript_variant,5_prime_UTR_variant
IGF2	rs2495700565	11	11:2149564	snv	genic_upstream_transcript_variant,5_prime_UTR_variant,intron_variant
IKBKE	rs2528959320	1	1:206496870	snv	genic_downstream_transcript_variant,3_prime_UTR_variant,intron_variant
IKBKE	rs2528959294	1	1:206496849	snv	genic_downstream_transcript_variant,3_prime_UTR_variant,intron_variant
IKZF1	rs2539022199	7	7:50405088	snv	genic_downstream_transcript_variant,3_prime_UTR_variant
IKZF1	rs2539021798	7	7:50405063	snv	genic_downstream_transcript_variant,3_prime_UTR_variant
IKZF2	rs2472006443	2	2:213152446	snv	5_prime_UTR_variant,genic_upstream_transcript_variant,upstream_transcript_variant
IKZF2	rs2472006308	2	2:213152420	snv	5_prime_UTR_variant,genic_upstream_transcript_variant,upstream_transcript_variant
IKZF3	rs2545198025	17	17:39864304	snv	5_prime_UTR_variant,genic_upstream_transcript_variant
IKZF3	rs2545197926	17	17:39864292	snv	5_prime_UTR_variant,genic_upstream_transcript_variant
IL2RG	rs2521704665	X	X:71109101	snv	intron_variant
IL2RG	rs2521704652	X	X:71109098	snv	intron_variant
IL6ST	rs2533688392	5	5:55994940	snv	2KB_upstream_variant,5_prime_UTR_variant,upstream_transcript_variant,non_coding_transcript_variant
IL6ST	rs2533687286	5	5:55994814	snv	2KB_upstream_variant,5_prime_UTR_variant,upstream_transcript_variant,non_coding_transcript_variant
IL7R	rs2531589185	5	5:35879587	snv	3_prime_UTR_variant,non_coding_transcript_variant,genic_downstream_transcript_variant
IL7R	rs2531589181	5	5:35879584	snv	3_prime_UTR_variant,non_coding_transcript_variant,genic_downstream_transcript_variant
INHBA	rs2484017139	7	7:41705372	delins	genic_upstream_transcript_variant,5_prime_UTR_variant,intron_variant
INHBA	rs2484016972	7	7:41705324	snv	genic_upstream_transcript_variant,5_prime_UTR_variant,intron_variant
INPP4B	rs2552112322	4	4:142595362	snv	intron_variant,genic_upstream_transcript_variant
INPP4B	rs2552112309	4	4:142595288	snv	intron_variant,genic_upstream_transcript_variant
IRF2	rs2477232945	4	4:184474544	snv	5_prime_UTR_variant
IRF2	rs2477232910	4	4:184474523	snv	5_prime_UTR_variant
IRF4	rs2480846365	6	6:410080	snv	3_prime_UTR_variant,non_coding_transcript_variant
IRF4	rs2480846346	6	6:410068	snv	3_prime_UTR_variant,non_coding_transcript_variant
IRF8	rs2545012166	16	16:85922593	snv	3_prime_UTR_variant
IRF8	rs2545012095	16	16:85922470	snv	3_prime_UTR_variant
IRS2	rs2526062187	13	13:109770363	delins	intron_variant
IRS2	rs2501622105	13	13:109786582	ins	2KB_upstream_variant,5_prime_UTR_variant,upstream_transcript_variant
ITK	rs2532167795	5	5:157255128	snv	3_prime_UTR_variant
ITK	rs2532167596	5	5:157255091	snv	3_prime_UTR_variant
ITPKB	rs2525635917	1	1:226707827	snv	intron_variant,genic_downstream_transcript_variant,3_prime_UTR_variant
ITPKB	rs2464957620	1	1:226739230	snv	5_prime_UTR_variant
JAK1	rs2524256980	1	1:64867176	snv	coding_sequence_variant,missense_variant
JAK1	rs2524256967	1	1:64867173	snv	coding_sequence_variant,missense_variant
JAK2	rs2546736047	9	9:5121540	delins	intron_variant,genic_downstream_transcript_variant
JAK2	rs2535466939	9	9:5084848	snv	genic_downstream_transcript_variant,intron_variant
JAK3	rs2540524906	19	19:17831093	snv	intron_variant,genic_downstream_transcript_variant
JAK3	rs2514589110	19	19:17847975	snv	non_coding_transcript_variant,5_prime_UTR_variant
JAZF1	rs2535240858	7	7:28114917	snv	genic_upstream_transcript_variant,intron_variant
JAZF1	rs2535240790	7	7:28114850	snv	genic_upstream_transcript_variant,intron_variant
JUN	rs2524564105	1	1:58784042	snv	5_prime_UTR_variant,2KB_upstream_variant,upstream_transcript_variant
JUN	rs2524564034	1	1:58784019	snv	5_prime_UTR_variant,2KB_upstream_variant,upstream_transcript_variant
KAT6A	rs2487076157	8	8:42051968	delins	non_coding_transcript_variant,5_prime_UTR_variant
KAT6A	rs2487076150	8	8:42051968	snv	non_coding_transcript_variant,5_prime_UTR_variant
KBTBD4	rs2525766030	11	11:47572640	snv	3_prime_UTR_variant
KBTBD4	rs2509725934	11	11:47578969	snv	5_prime_UTR_variant,2KB_upstream_variant,upstream_transcript_variant,genic_upstream_transcript_variant
KCNJ5	rs2551631616	11	11:128916274	delins	intron_variant
KCNJ5	rs2545609888	11	11:128917793	del	3_prime_UTR_variant
KDM4C	rs2538156146	9	9:6839026	snv	intron_variant,genic_downstream_transcript_variant,genic_upstream_transcript_variant
KDM4C	rs2538155873	9	9:6838995	del	intron_variant,genic_downstream_transcript_variant,genic_upstream_transcript_variant
KDM5A	rs2538870203	12	12:363220	snv	intron_variant
KDM5A	rs2534564376	12	12:357826	delins	intron_variant
KDM5C	rs2546612985	X	X:53192873	delins	intron_variant,3_prime_UTR_variant
KDM5C	rs2519632831	X	X:53225194	snv	5_prime_UTR_variant,non_coding_transcript_variant
KDM6A	rs2545203426	X	X:45075141	delins	intron_variant
KDM6A	rs2540378202	X	X:45047690	delins	intron_variant
KDR	rs2545309180	4	4:55125582	snv	5_prime_UTR_variant
KDR	rs2545309144	4	4:55125563	snv	5_prime_UTR_variant
KEAP1	rs2540837414	19	19:10489560	snv	intron_variant,genic_downstream_transcript_variant
KEAP1	rs2532842727	19	19:10492408	snv	intron_variant
KEL	rs2486413609	7	7:142962362	snv	5_prime_UTR_variant,genic_upstream_transcript_variant,upstream_transcript_variant
KEL	rs2486413603	7	7:142962361	snv	5_prime_UTR_variant,genic_upstream_transcript_variant,upstream_transcript_variant
KIF1B	rs2523476265	1	1:10260704	snv	intron_variant
KIF1B	rs2523475360	1	1:10260509	snv	intron_variant
KIF5B	rs2491929277	10	10:32056402	snv	5_prime_UTR_variant
KIF5B	rs2491929027	10	10:32056357	delins	5_prime_UTR_variant
KIT	rs2522333225	4	4:54724049	delins	intron_variant
KIT	rs2475596692	4	4:54740709	delins	3_prime_UTR_variant
KLF2	rs2527682908	19	19:16326740	del	intron_variant
KLF2	rs2512915557	19	19:16326693	delins	intron_variant
KLF4	rs2537751788	9	9:107489759	delins	5_prime_UTR_variant
KLF4	rs2537751717	9	9:107489715	snv	5_prime_UTR_variant
KLHL6	rs2534950437	7	7:23177817	snv	3_prime_UTR_variant,genic_downstream_transcript_variant,non_coding_transcript_variant
KLHL6	rs2534950378	7	7:23177776	snv	3_prime_UTR_variant,genic_downstream_transcript_variant,non_coding_transcript_variant
KMT2A	rs2538780706	11	11:118498335	del	intron_variant
KMT2A	rs2530097361	11	11:118521152	snv	intron_variant
KMT2B	rs2525643832	19	19:35723543	snv	intron_variant
KMT2B	rs2524471355	19	19:35724101	delins	intron_variant
KMT2C	rs2535894247	7	7:152353167	del	intron_variant
KMT2C	rs2531345397	7	7:152204206	del	intron_variant
KMT2D	rs2499041451	12	12:49027742	snv	intron_variant
KMT2D	rs2499041436	12	12:49027738	snv	intron_variant
KRAS	rs2548937166	12	12:25250924	snv	5_prime_UTR_variant
KRAS	rs2548937159	12	12:25250920	snv	5_prime_UTR_variant
LEF1	rs2523412921	4	4:108071674	delins	intron_variant
LEF1	rs2478228513	4	4:108168903	snv	upstream_transcript_variant,splice_donor_variant,intron_variant,5_prime_UTR_variant,non_coding_transcript_variant,genic_upstream_transcript_variant
LIFR	rs2531340846	5	5:38608369	snv	non_coding_transcript_variant,intron_variant,5_prime_UTR_variant,genic_upstream_transcript_variant
LIFR	rs2531340796	5	5:38608334	snv	non_coding_transcript_variant,intron_variant,5_prime_UTR_variant,genic_upstream_transcript_variant
LMO1	rs2540559748	11	11:8268753	snv	5_prime_UTR_variant,genic_upstream_transcript_variant
LMO1	rs2540559708	11	11:8268710	snv	5_prime_UTR_variant,genic_upstream_transcript_variant
LRP1B	rs2530569180	2	2:142130429	snv	intron_variant,genic_upstream_transcript_variant
LRP1B	rs2530569110	2	2:142130403	snv	intron_variant,genic_upstream_transcript_variant
LYN	rs2530224164	8	8:55952005	delins	frameshift_variant,coding_sequence_variant
LYN	rs2527197093	8	8:56003927	delins	intron_variant
LYST	rs2528103741	1	1:235788418	delins	intron_variant,genic_downstream_transcript_variant
LYST	rs2528103310	1	1:235788350	snv	intron_variant,genic_downstream_transcript_variant
LZTR1	rs2548991396	22	22:20992700	snv	intron_variant
LZTR1	rs2533971720	22	22:20995366	snv	intron_variant
MAGI2	rs2546531515	7	7:78706005	delins	genic_upstream_transcript_variant,intron_variant
MAGI2	rs2545760913	7	7:78579782	del	genic_upstream_transcript_variant,intron_variant
MALT1	rs2533489705	18	18:58696901	delins	intron_variant
MALT1	rs2511579158	18	18:58754274	snv	intron_variant,genic_downstream_transcript_variant,3_prime_UTR_variant
MAML2	rs2537766773	19	19:18777319	del	genic_downstream_transcript_variant,coding_sequence_variant,frameshift_variant
MAML2	rs2513584105	19	19:18724991	snv	intron_variant
MAP2K1	rs2545112271	15	15:66491541	snv	genic_downstream_transcript_variant,intron_variant,3_prime_UTR_variant
MAP2K1	rs2545112126	15	15:66491448	snv	genic_downstream_transcript_variant,intron_variant,3_prime_UTR_variant
MAP2K2	rs2512328241	19	19:4124067	snv	genic_upstream_transcript_variant,5_prime_UTR_variant
MAP2K2	rs2512328219	19	19:4124035	snv	genic_upstream_transcript_variant,5_prime_UTR_variant
MAP2K4	rs2545631800	17	17:12120610	del	intron_variant
MAP2K4	rs2537736289	17	17:12108002	del	intron_variant
MAP3K1	rs2530994386	5	5:56896149	snv	3_prime_UTR_variant,downstream_transcript_variant,genic_downstream_transcript_variant,500B_downstream_variant
